gesture_id,person_id,session_id,run_path,include,notes
A,P02,BLACK,..\..\..\..\data\tsgr_dataset\training\P02\BLACK\A\runs\run_20260926_145952_975148_p13588,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\A\runs\run_20260926_145957_776358_p8564,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\A\runs\run_20260926_150000_229977_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\A\runs\run_20260926_150005_126591_p26772,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\A\runs\run_20260926_150007_371647_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\A\runs\run_20260926_150011_825316_p12404,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P05,BLACK,..\..\..\..\data\tsgr_dataset\training\P05\BLACK\A\runs\run_20260926_150014_050387_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
A,P05,WHITE,..\..\..\..\data\tsgr_dataset\training\P05\WHITE\A\runs\run_20260926_150018_510961_p26832,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
B,P02,BLACK,..\..\..\..\data\tsgr_dataset\training\P02\BLACK\B\runs\run_20260926_145952_974147_p11480,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
B,P02,WHITE,..\..\..\..\data\tsgr_dataset\training\P02\WHITE\B\runs\run_20260926_145957_777358_p18060,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
B,P03,BLACK,..\..\..\..\data\tsgr_dataset\training\P03\BLACK\B\runs\run_20260926_150000_243477_p27596,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
B,P03,WHITE,..\..\..\..\data\tsgr_dataset\training\P03\WHITE\B\runs\run_20260926_150005_118591_p20916,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
B,P04,BLACK,..\..\..\..\data\tsgr_dataset\training\P04\BLACK\B\runs\run_20260926_150007_373647_p18804,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
B,P04,WHITE,..\..\..\..\data\tsgr_dataset\training\P04\WHITE\B\runs\run_20260926_150011_829316_p14644,true,fold=S4_LOSO_BACKGROUND/subject_P01__background_BLUE; images=25
